routeid,created_utc,activitytype,latitude,longitude,distance_m,n_points
01a18de1e810cf44acdaf9dfcbdd0634,2012-08-21 20:42:05.889000,Running,42.350085,-71.069938,7089.721417520868,67
acfb14fda39a885ee7445ad97528268b,2012-08-21 23:58:56.476000,Running,42.34095,-71.23875,10590.403554470864,492
ec278fb5e8ca9705429f4f122f0fe57a,2012-08-22 00:22:55.126000,Running,42.267135,-70.996722,7191.836363720931,55
2cdc3ab4900ce87ca398b39eb1004944,2012-08-22 12:40:04.984000,Running,42.35709,-71.07177,4697.2001506215,282
4590132d30fdada33894746792e062f0,2012-08-22 12:42:55.422000,Running,42.357153,-71.071852,6298.112795133047,346
5e66e2f33215aff06b8ee67c24a4236d,2012-08-22 12:45:06.303000,Running,42.357121,-71.071852,8970.024322770543,502
60b32a1783426066ced82c8488a96c43,2012-08-22 14:13:22.440000,Running,42.335679,-71.035448,18481.69920029012,65
35e8329ca705c971c267ba5fc608d774,2012-08-22 14:24:44.623000,Running,42.36653,-71.0527,9635.74154925235,494
f162cb426ce435ee6b5b1f3ee9751575,2012-08-22 19:21:20.157000,Running,42.36201,-71.08264,11598.494069416443,499
a4173f9f301f105ad813a5eb7f2ca030,2012-08-22 19:30:57.665000,Running,42.36309,-71.08277,8645.856410928096,506
63df9b0850bfcdffeb826691845a1dde,2012-08-22 20:47:27.400000,Walking,42.375247,-71.11935,797.5266519023197,81
b0c6c26a46db5e091b1e617f483d8a3f,2012-08-22 22:12:09.178000,Running,42.36149,-71.186159,8519.276414179698,218
894ccddf2321119196711c5823a65afc,2012-08-23 02:18:02.143000,Running,42.36022,-71.052829,6325.025993538559,504
bdc0d908dd88b2d3bce76e1c0d275bb2,2012-08-23 04:29:52.408000,Walking,42.365255,-71.097897,671.337955606196,70
d559f5f0444fd5a33e58f5f2d2185111,2012-08-23 04:30:51.360000,Walking,42.374374,-71.120123,776.0092158558468,79
ede7ae81eb94e55fc3f131ed104f02c6,2012-08-23 04:31:47.348000,Walking,42.376328,-71.126086,2958.8241613283853,300
a88566e1e30854715ef2ab8e601bcfe8,2012-08-23 08:15:34.727000,Running,42.367672,-71.118967,11379.64647002806,35
65a6e0158d6c2d0420d709ecb3336468,2012-08-23 20:51:50.346000,Running,42.380136,-71.07083,6987.16837021192,15
1a8f4f7892a02df99512bc8c2cf34f02,2012-08-23 22:13:18.342000,Running,42.372114,-71.178561,4280.748474677489,19
fa5f20791e1d8fbcfef7d3f845088488,2012-08-23 23:20:42.409000,Running,42.37697,-71.09559,18214.64236600684,294
25576e1ad571c7739afe2df2baa5584f,2012-08-23 23:36:22.512000,Running,42.36665,-71.09427,10680.792858401002,505
c533a4a66cabb4f341e5e511dd2b4f39,2012-08-24 01:39:39.757000,Running,42.38628,-71.07876,6364.009724037612,207
19fee8b6a4f8daff1edc6deda85edcd4,2012-08-24 02:01:51.405000,Running,42.366555,-71.103053,24089.941060562647,182
576f87668e8100fe9456523e5da9b2c4,2012-08-24 11:53:59.332000,Running,42.3677,-71.09518,8451.58744221177,506
1b930b80b2f10a37eeb36ec281e079cc,2012-08-24 13:43:56.132000,Running,42.36297,-71.05103,8695.173303747273,496
ed56c338fae333577ce26021739275a7,2012-08-24 15:46:46.008000,Running,42.36201,-71.08264,11584.416293724056,477
1e401c2435fab5d5266ae8a6a154d07a,2012-08-24 15:55:28.232000,Running,42.40338,-71.12421,12643.86853334458,509
7d5888e476df071cc6f9e595d1b34068,2012-08-24 19:15:28.305000,Running,42.375251,-71.112779,5352.592320839466,21
0368dce8a618b8b3d6e8f41e6a223fe9,2012-08-24 22:26:26.466000,Running,42.33235,-71.02085,3418.2552085193192,74
17eb135fd383936a93a26a0ba30eb5e2,2012-08-25 00:53:50.800000,Running,42.352056,-71.090114,6553.314162591727,55
b0d188bbf60cad7c51eb6d86aaaa8fd5,2012-08-25 03:55:30.089000,Cycling,42.34744,-71.157626,36705.07266495561,481
dfebb95b798fe1c7a3d8e29957cb919b,2012-08-25 13:19:26.953000,Running,42.354241,-71.080684,4509.012877636041,350
144e5e44bf103002c92f81e1c062ef50,2012-08-25 17:38:32.815000,Running,42.391363,-71.118741,16423.03699330415,396
76b1c4f552891ef0af2a791eb0bc344d,2012-08-25 19:19:21.598000,Running,42.34028,-71.102279,10231.449265963081,509
2183bd812c5698db9d7fc2801826695a,2012-08-26 00:07:51.186000,Running,42.358854,-71.070853,5029.241183213728,10
a27f03b1108e38618f7c396388b5f04a,2012-08-26 02:26:15.679000,Running,42.278182,-71.013171,8716.90954829971,13
44a34df79f2b151f7871832f42bd7439,2012-08-26 02:32:53.964000,Running,42.27045,-71.020574,9325.463529696808,25
12e486c96571dfb49762966112d42f3a,2012-08-26 02:40:12.340000,Running,42.27045,-71.02051,16284.726339252844,46
a8fb9011a52df96bb369ad1c7bd246de,2012-08-26 03:12:59.630000,Running,42.340139,-71.128759,5659.376080258445,25
e321e47c98eef0315be757db7fc0877f,2012-08-26 13:08:16.472000,Running,42.32365,-71.0602,12075.100112384138,507
cca8dbb24a9f01888036a0546931a1f2,2012-08-26 20:12:10.906000,Running,42.31001,-71.10401,12110.470398077709,431
791a612dc65f6a8a23e741a70485cf6b,2012-08-26 21:57:42.646000,Running,42.374648,-71.165763,5045.79096876816,58
91e296c902d89ae3583f35d55a8a0a85,2012-08-26 22:14:37.378000,Running,42.3597,-71.072776,16274.87689063129,109
bad06eac92684d1ed84db5995230aca3,2012-08-27 01:03:29.340000,Running,42.354162,-71.069758,6010.286546213225,52
057271e62bc6cdbc87d0cdb32c975744,2012-08-27 15:53:14.752000,Running,42.36841,-71.09435,7979.913357023341,303
